,CLASS_NAME,num,x,y,HH,HV,HH+HV,Entropy,Alpha,Anisotropy,HA,H(1-A)
153,baigurang,4041,373679.6742,2381027.107,-12.325229,-21.21206,-16.768644,0.6662113,17.083712,0.6525004,11.381362,-10.715151
154,baigurang,4042,373698.9359,2381004.247,-10.101339,-19.445444,-14.773392,0.6297728,15.8290615,0.68377674,9.968712,-9.33894
155,baigurang,4043,373699.7826,2381046.58,-11.226534,-19.121853,-15.174193,0.66797084,16.69552,0.6509333,11.152121,-10.48415
156,baigurang,4045,373677.3459,2380954.082,-13.922163,-19.323673,-16.622917,0.7484255,20.154995,0.5726749,15.084512,-14.336086
157,baigurang,4046,373721.7959,2380984.562,-11.287636,-17.83181,-14.559723,0.7142273,18.641861,0.6076348,13.314527,-12.600299
158,baigurang,4048,373728.146,2381100.343,-10.2331705,-20.33094,-15.282055,0.49869597,12.869149,0.78080815,6.417793,-5.919097
159,baigurang,4049,373768.5744,2381065.842,-10.3135,-19.317566,-14.815533,0.59964234,18.000507,0.70807594,10.793866,-10.194224
160,baigurang,4050,373749.736,2381051.025,-12.602965,-17.773083,-15.1880245,0.657677,20.723286,0.6600243,13.629229,-12.971551
161,baigurang,4051,373816.4111,2381111.774,-11.910491,-19.089085,-15.499788,0.6769418,16.810051,0.6428572,11.379426,-10.702484
162,baigurang,4053,373795.4561,2381165.325,-10.332374,-18.271404,-14.301889,0.7151828,18.980927,0.6066946,13.574832,-12.859649
163,baigurang,4054,373781.9094,2381206.812,-14.6567,-21.605223,-18.130962,0.71437824,18.55307,0.6074864,13.253909,-12.539532
164,baigurang,4055,373825.7245,2381179.084,-11.245226,-17.411045,-14.3281355,0.6389678,19.05102,0.6760886,12.172988,-11.53402
165,baigurang,4056,373870.8096,2381175.909,-11.105977,-18.150892,-14.628435,0.75396025,24.345417,0.5667463,18.355476,-17.601517
166,baigurang,4058,373858.1096,2381149.239,-12.135647,-19.439846,-15.787746,0.7149495,19.651592,0.60692436,14.049896,-13.334947
167,baigurang,4059,373839.9062,2381124.897,-13.287185,-20.68614,-16.986662,0.708166,19.650715,0.6135533,13.915968,-13.207802
168,baigurang,4060,373891.553,2381152.837,-11.316094,-17.47017,-14.393131,0.7291367,20.733934,0.5927321,15.117872,-14.388736
169,baigurang,4061,373890.0713,2381091.03,-14.922619,-17.47651,-16.199564,0.8522128,30.376364,0.4447235,25.887125,-25.034912
170,baigurang,4062,373858.1096,2381075.367,-12.246236,-19.121367,-15.683802,0.75960916,21.443348,0.5606111,16.288563,-15.5289545
171,baigurang,4063,373867.8462,2381047.427,-12.070188,-20.40374,-16.236963,0.71100444,19.270763,0.6107915,13.701598,-12.990594
172,baigurang,4064,373881.1813,2381014.407,-13.31681,-19.039577,-16.178194,0.7421671,22.459188,0.57928336,16.66847,-15.926304
173,baigurang,4065,373847.9495,2381005.305,-11.639693,-17.93576,-14.787727,0.722954,23.356071,0.5989729,16.885365,-16.16241
174,baigurang,4066,373871.6562,2380971.438,-12.227496,-16.69222,-14.459858,0.8164577,27.891771,0.49341163,22.772451,-21.955994
175,baigurang,4067,373901.2896,2380947.943,-10.463109,-15.867997,-13.165553,0.7177571,22.259731,0.6041515,15.97708,-15.259323
176,baigurang,4069,373937.4847,2380949.213,-11.680311,-19.322254,-15.501283,0.5952097,16.978697,0.71154064,10.1058855,-9.510675
177,baigurang,4070,373902.1363,2380906.88,-13.964532,-19.814491,-16.889511,0.73710245,23.360348,0.58455944,17.21897,-16.481867
178,baigurang,4071,373867.8462,2380902.646,-10.952584,-16.951965,-13.952274,0.79361653,22.30458,0.52170885,17.701284,-16.907667
179,baigurang,4072,373921.1863,2380886.348,-11.701576,-18.34713,-15.024353,0.68088156,18.814302,0.6392639,12.810311,-12.12943
180,baigurang,4073,373946.7981,2380883.385,-14.601053,-21.64096,-18.121006,0.7103562,19.50466,0.61142373,13.855255,-13.144899
181,baigurang,4074,373942.3531,2380844.65,-13.62275,-19.86169,-16.74222,0.6750315,18.272469,0.64458925,12.334492,-11.65946
182,baigurang,4075,373838.2128,2380839.358,-15.539671,-18.550161,-17.044916,0.8319127,25.814104,0.47309366,21.47508,-20.643167
183,baigurang,4076,373952.0897,2380816.498,-12.100324,-20.569033,-16.334679,0.6778849,18.169022,0.6419997,12.316505,-11.63862
184,baigurang,4077,373930.288,2380754.056,-12.132007,-18.766085,-15.449045,0.6960479,18.891718,0.6251553,13.149541,-12.453493
185,baigurang,4078,373979.8181,2380759.771,-9.959999,-17.047392,-13.5036955,0.68645597,20.165266,0.6341298,13.842567,-13.156111
186,baigurang,4080,373906.5813,2380715.109,-14.094255,-18.010046,-16.05215,0.7076086,18.617968,0.6140936,13.174233,-12.466625
187,baigurang,4081,373965.6364,2380710.876,-11.463917,-18.409952,-14.936934,0.6855583,17.10221,0.63496053,11.724562,-11.039003
188,baigurang,4084,373857.8979,2380667.484,-13.288951,-19.501535,-16.395243,0.70771015,19.003597,0.6139952,13.4490385,-12.741328
189,baigurang,4085,373879.9113,2380632.136,-14.089821,-18.134058,-16.111938,0.7577557,21.528133,0.5626337,16.313066,-15.55531
190,baigurang,4086,373922.4563,2380640.391,-13.969688,-18.363014,-16.166351,0.71928656,19.529892,0.6026337,14.047589,-13.328302
191,baigurang,4087,373970.5048,2380639.121,-12.11025,-17.876804,-14.993527,0.71787584,20.227266,0.6040339,14.520666,-13.80279
192,baigurang,4088,374004.3715,2380586.204,-10.676443,-17.844187,-14.260315,0.709985,18.90801,0.61178535,13.424404,-12.714419
193,baigurang,4090,373938.1197,2380569.906,-11.945404,-19.748013,-15.846708,0.6686227,16.98152,0.6503514,11.354229,-10.685606
194,baigurang,4091,373907.8513,2380582.182,-14.503504,-19.453438,-16.97847,0.7167542,19.340082,0.60514396,13.862085,-13.14533
195,baigurang,4092,373872.2912,2380575.197,-13.423905,-21.562561,-17.493233,0.6719635,19.232088,0.64735687,12.923262,-12.251298
196,baigurang,4094,373792.9161,2380539.214,-11.046263,-17.496668,-14.271465,0.7228848,22.740847,0.5990423,16.439013,-15.716127
197,baigurang,4095,373803.9228,2380503.442,-12.15855,-20.082117,-16.120335,0.64386517,18.107723,0.671939,11.658933,-11.015067
198,baigurang,4097,373844.5629,2380512.121,-14.108048,-19.678436,-16.893242,0.7077422,21.372913,0.61396414,15.1265135,-14.418771
199,baigurang,4098,373759.0494,2380517.836,-13.390749,-18.152384,-15.771566,0.74519676,23.843847,0.5760967,17.768358,-17.02316
