,CLASS_NAME,num,x,y,HH,HV,HH-HV,HH+HV,HH/HV
255,baigurang,4173,374285.1755,2380931.703,-11.763207,-18.948423,7.185216,-15.355816,0.6208014
256,baigurang,4175,374237.815,2380980.518,-10.9190855,-17.31814,6.3990545,-14.118612,0.6304999
257,baigurang,4177,374192.7034,2381003.934,-10.753753,-18.227554,7.4738016,-14.490654,0.5899723
258,baigurang,4179,374182.3847,2381019.148,-10.657196,-18.68152,8.024324,-14.669358,0.5704673
259,baigurang,4180,374238.6087,2381058.174,-9.894339,-20.958853,11.064514,-15.426596,0.472084
260,baigurang,4181,374285.837,2381042.034,-11.718958,-17.7071,5.988142,-14.713029,0.66182256
261,baigurang,4182,374296.5526,2381020.338,-11.583301,-17.317242,5.733941,-14.450272,0.66888833
262,baigurang,4184,374307.2682,2381055.66,-11.158372,-17.592793,6.4344206,-14.375582,0.63425815
263,baigurang,4185,374348.8079,2381021.794,-14.0309305,-19.58827,5.5573397,-16.8096,0.7162925
264,baigurang,4186,374356.7454,2381047.326,-11.024428,-20.734941,9.710513,-15.879684,0.5316836
265,baigurang,4187,374341.2673,2381069.022,-10.990229,-17.780016,6.7897873,-14.385122,0.6181225
266,baigurang,4189,374351.9829,2381094.025,-10.983288,-17.017689,6.034401,-14.000488,0.6454042
